"","x"
"1"," abandon "
"2"," ability "
"3"," academic "
"4"," account "
"5"," account "
"6"," achieve "
"7"," achieve "
"8"," acquire "
"9"," acquire "
"10"," active "
"11"," activity "
"12"," advancement "
"13"," advantage "
"14"," aim "
"15"," aim "
"16"," general "
"17"," general bildung "
"18"," allow "
"19"," allow "
"20"," alternative "
"21"," amount "
"22"," analytic "
"23"," answer "
"24"," apply "
"25"," apply "
"26"," apply "
"27"," apply "
"28"," approach "
"29"," appropriate "
"30"," area "
"31"," argue "
"32"," argue "
"33"," aspect "
"34"," assess "
"35"," assess "
"36"," assessment "
"37"," assumption "
"38"," assumption "
"39"," assumption "
"40"," authority "
"41"," autonomy "
"42"," axiom "
"43"," axiom "
"44"," become "
"45"," behaviour "
"46"," behaviour "
"47"," bloemecke "
"48"," call "
"49"," call "
"50"," capacity "
"51"," career "
"52"," categorical "
"53"," category "
"54"," center "
"55"," challenge "
"56"," change "
"57"," change "
"58"," change "
"59"," characterise "
"60"," characterise "
"61"," characterise "
"62"," choice "
"63"," citizen "
"64"," citizen "
"65"," claims "
"66"," classical "
"67"," cognitive "
"68"," combine "
"69"," combine "
"70"," combine "
"71"," communicate "
"72"," communicate "
"73"," comparison "
"74"," competence "
"75"," competence "
"76"," competence "
"77"," competence "
"78"," compete "
"79"," complete "
"80"," complex "
"81"," complex "
"82"," component "
"83"," concept "
"84"," concept "
"85"," concept "
"86"," concept "
"87"," concept "
"88"," concept "
"89"," concept "
"90"," conclusion "
"91"," conclusion "
"92"," concrete "
"93"," concrete "
"94"," connect "
"95"," consider "
"96"," consider "
"97"," consist "
"98"," consist "
"99"," constitute "
"100"," construction "
"101"," construct "
"102"," contemporary "
"103"," context "
"104"," contextualise "
"105"," contextualise "
"106"," contribute "
"107"," coordinate "
"108"," coordinate "
"109"," coordinate "
"110"," correspond "
"111"," country "
"112"," create "
"113"," create "
"114"," creativity "
"115"," criterion "
"116"," critical "
"117"," criticism "
"118"," criticism "
"119"," crop "
"120"," culture "
"121"," curious "
"122"," curriculum "
"123"," decade "
"124"," decomposition "
"125"," definition "
"126"," definition "
"127"," definition "
"128"," definition "
"129"," demand "
"130"," demand "
"131"," democracy "
"132"," describe "
"133"," describe "
"134"," describe "
"135"," description "
"136"," deseco "
"137"," detail "
"138"," determine "
"139"," develop "
"140"," develop "
"141"," develop "
"142"," development "
"143"," develop "
"144"," dewey "
"145"," dichotomy "
"146"," dichotomy "
"147"," didactic "
"148"," different "
"149"," differ "
"150"," dimension "
"151"," discourse "
"152"," discuss "
"153"," discuss "
"154"," disposition "
"155"," disposition "
"156"," domain "
"157"," domain "
"158"," domain "
"159"," draw "
"160"," drink "
"161"," early "
"162"," economy "
